"name","status","lat","lng"
"JB001","1","-21.81156172067873","147.9985355045087"
"JB016","1","-21.81672167340004","147.9979437764723"
"JB017","1","-21.81894443490295","147.9977486024885"
"JB018","1","-21.82170212519121","147.9975105049302"
"JB019","1","-21.82661651484962","147.9973046485725"
"JB020","1","-21.83519758500657","147.996774936329"
"JB021","1","-21.84335501208149","148.0001474153805"
"JB022","1","-21.83815431740588","148.0004262534184"
"JB023","1","-21.83560233143588","148.0006517881949"
"JB024","1","-21.82712120088512","148.0012588859696"
"JB025","1","-21.81932082320505","148.0020347814276"
"JB026","1","-21.81468040501817","148.0026118808113"
"JB015","1","-21.81196870521707","148.0029355434224"
"JB014","1","-21.81246265570523","148.0070459320221"
"JB013","1","-21.81779783264398","148.0064491767918"
"JB002","1","-21.82247062024077","148.0059773844422"
"JB003","1","-21.82756250644305","148.0055325389114"
"JB004","1","-21.83330813468832","148.0049175505994"
"JB005","1","-21.83598902004567","148.0047214786064"
"JB006","1","-21.83860763154284","148.0044921221419"
"JB007","1","-21.84391955512264","148.0080604288815"
"JB008","1","-21.84137647324319","148.0083826165138"
"JB009","1","-21.83638356447264","148.0086688292101"
"JB010","1","-21.83074527206391","148.0091239401489"
"JB011","1","-21.82289147577594","148.009887807024"
"JB012","1","-21.82020578341429","148.0101556948891"
"JB027","1","-21.81249737755645","148.0109709683991"
